target_id,fc,lrt_qval,wt_qval,Direction
Rnf181,1.0071581963959655,2.7685117521833623e-8,3.317282560082904e-6,Up
Mfap5,3.7565072621126494,2.7685117521833623e-8,6.953078467743681e-10,Up
Apol10b,0.37073195217417804,2.7931878675711887e-8,2.482060372006721e-15,Down
Ecm1,1.7589826828071489,2.8161442115534045e-8,8.690162565926642e-10,Up
Lbp,2.0714289008130584,2.8161442115534045e-8,2.2112507116478346e-12,Up
Hnrnpk,0.918710976963873,2.8422932860560226e-8,8.616375630864267e-7,Down
Dhx32,2.2211449672135517,2.9561173907830704e-8,7.10424426826516e-11,Up
Lgalsl,2.1354036421668883,3.137915476152387e-8,1.8799748565148126e-19,Up
Gbp9,0.356015359801275,3.157624314077255e-8,1.1829579782863275e-12,Down
Pcdhga8,0.402902332588199,3.447530160424636e-8,2.2831372111796072e-12,Down
Lrrc59,2.092384761238404,3.471400734607782e-8,1.2872054904336337e-16,Up
Jazf1,1.4124710624180847,4.17475284062105e-8,4.371466616662561e-11,Up
Smim5,0.28142174666030206,4.2124585472176424e-8,4.078501118073244e-11,Down
Col18a1,1.7923586467265937,4.371803715335592e-8,1.6786469663749698e-10,Up
Fam57b,1.9628756176835767,4.525632375330369e-8,2.165510336114817e-13,Up
Lgr4,1.520497569834801,4.537864535600123e-8,2.220336027577781e-12,Up
Mia3,1.1112176442037558,4.704989570667457e-8,3.805570572482076e-8,Up
Zfp106,1.3563598913984214,4.720578426742589e-8,4.839383243201126e-9,Up
RP24-363O21.9,0.31432290945582747,5.172682955879195e-8,2.8212343779243963e-12,Down
BC004004,1.3806570410697532,5.240348217081004e-8,1.1930545457420528e-9,Up
Macf1,1.0545957147924554,5.261937803303837e-8,2.1707423421424267e-7,Up
Tie1,0.4767382976400844,5.261937803303837e-8,2.718332462838162e-12,Down
Cd200,0.6470531023866398,5.4093888680534254e-8,2.519715550050905e-11,Down
Hipk1,1.4755518006922355,5.498523891441532e-8,1.94544703812376e-9,Up
Tef,0.560810033965206,5.502075821434817e-8,3.1898184118978416e-9,Down
Ramp2,0.6289313079366305,5.624154962381591e-8,3.1875354573303606e-9,Down
Tlcd1,1.5714769848587316,6.252605550545373e-8,1.8999487394071974e-8,Up
Kank3,0.5750138096519009,6.284514749244106e-8,3.1875354573303606e-9,Down
Morc4,2.206508832695905,6.301830590106498e-8,1.0261216686015682e-10,Up
Timp2,1.3042011933880162,6.520539667872646e-8,1.317258519136764e-18,Up
Steap2,1.9701685729868448,6.520539667872646e-8,2.5811957893367124e-8,Up
Ufm1,1.4870766380889788,6.520539667872646e-8,2.0753273114274903e-9,Up
Tmem176a,2.1714270728831617,6.520539667872646e-8,8.367030577983463e-10,Up
Coro1b,0.8873313000925341,6.721291505108689e-8,5.108219340526387e-7,Down
Ldb1,0.675757306803507,7.075062273001838e-8,3.842659333039414e-10,Down
Sardh,1.9269134030701502,7.075062273001838e-8,4.73003483721038e-14,Up
H2-Eb1,0.24874434693703362,7.354832818853657e-8,3.7486284146889257e-19,Down
Mrgprg,70.23561201144646,7.369348187295568e-8,3.823485545460306e-19,Up
Ehd1,1.3639955333663931,7.643027630211563e-8,4.839383243201126e-9,Up
Map4k2,0.7357169581035807,7.643027630211563e-8,6.8767180160155e-5,Down
Dctn3,1.8744336525340501,8.173167724613737e-8,1.1225364691145096e-13,Up
Kif1c,1.3249202200942414,9.283289893182008e-8,3.545337981539345e-8,Up
Hsd11b1,2.3093086296897485,9.394940070371486e-8,2.947284258393165e-14,Up
Csde1,1.256024270445114,9.403380589898026e-8,1.9827655325995363e-7,Up
Osbpl9,0.9959717382278023,9.544712817279969e-8,3.788418603482473e-8,Down
Usp48,0.8602486400657006,9.570751675833956e-8,3.7896574164858834e-7,Down
Serpina3m,6.877415231386178,9.595368862554816e-8,4.749512703722656e-16,Up
Vps13d,1.1112420735504758,9.595368862554816e-8,6.209157436992276e-7,Up
Fam110c,3.70656495697419,1.0015078724092634e-7,2.4665109006277383e-18,Up
Ppp2r4,1.13303918193765,1.040865142301423e-7,3.0779247611172054e-7,Up
Mbnl1,1.0837690819231767,1.040865142301423e-7,3.84803184735459e-7,Up
Cbx7,0.5679100288943799,1.0687133151459241e-7,2.37294195465662e-10,Down
Vegfa,0.6051804363915463,1.0912465784827174e-7,1.6353356618054354e-8,Down
Ptgr2,1.1317658409481075,1.096783280747649e-7,4.885060621232535e-11,Up
Sec24b,0.7251097232231317,1.1189579586683468e-7,4.157578195351966e-10,Down
Cr1l,1.167586024637713,1.1243512049200798e-7,3.948312352786123e-5,Up
Paxbp1,0.6945590575900947,1.2520630739709057e-7,4.1662055800520877e-7,Down
Olfm1,2.4752366182068113,1.2676101981227087e-7,1.976060321311523e-13,Up
Egfr,1.7314631897253667,1.3208473863384813e-7,5.093093582482615e-11,Up
Pde7a,1.6218090352598062,1.3208473863384813e-7,2.1063196662918794e-10,Up
Mpdz,1.702706326874026,1.3392954711462257e-7,4.889445761144786e-8,Up
Trhde,2.4129228205312976,1.344491898910262e-7,4.311449773023987e-9,Up
Capns1,1.559589091760097,1.3620418533443614e-7,1.194891490918479e-8,Up
Ms4a8a,3.077500130931155,1.4138456185001356e-7,4.0831298647079855e-12,Up
Gapdh,1.7244064517140907,1.448448077825244e-7,3.687849013108391e-12,Up
Ptprd,1.1172081081711902,1.5353073745472048e-7,4.8764511508312115e-8,Up
Stim1,1.9910248167532096,1.5402183465315609e-7,1.2132585535275193e-15,Up
Tgtp1,0.2589967164795625,1.5588876536732658e-7,3.391484670379157e-17,Down
Fbxo22,1.1108745889506564,1.572494282406677e-7,1.4201914783311767e-10,Up
Mc5r,8.834898565580954,1.6238477385016454e-7,4.26899964438737e-17,Up
Cdr2,2.4041788902194283,1.649741148850779e-7,4.637220985729965e-17,Up
Slc30a9,1.153434195877193,1.738732031076379e-7,1.653501924286525e-4,Up
Aplnr,0.11813560460182111,1.7493491683920711e-7,6.34481700750126e-17,Down
Rbbp6,0.7636999924394711,1.7829011326846283e-7,2.1707423421424267e-7,Down
Magix,0.3048232607977971,1.7926230110304943e-7,2.0140988220831873e-12,Down
Trim12a,0.6608570435186444,1.8266404054306441e-7,1.0162208952838311e-7,Down
Rasa4,0.4528355980344801,1.833710210791744e-7,3.8502237071541464e-8,Down
Gstt2,0.2593531941585389,1.998319013465646e-7,1.2872054904336337e-16,Down
Tnfsf10,0.41383798947643724,2.239726262631996e-7,2.1577521445957587e-16,Down
Pum1,0.9130920544159369,2.2449838314230303e-7,1.609707914939155e-5,Down
Atp6v0a1,1.4096092346681468,2.2601335846206892e-7,8.886189063796909e-8,Up
Agpat3,1.364197738018146,2.2902806439707785e-7,2.0542977884400615e-7,Up
Mat2a,0.8124619988944835,2.2902806439707785e-7,9.818604520659402e-7,Down
Ets2,0.4891928423700393,2.625522453432356e-7,4.822930214825156e-16,Down
F13a1,2.8623993645773527,2.625522453432356e-7,4.0539418366704416e-10,Up
Lep,3.092466329467436,2.6308833672022116e-7,2.8188533527348695e-10,Up
BC003331,1.3557390325704437,2.646689997306154e-7,1.0549711022029712e-7,Up
Mgst1,0.6589027563527077,2.7253323062720205e-7,1.1587827705380299e-7,Down
Slc25a19,1.5589405147231503,2.8207637246780107e-7,1.9636572774133138e-7,Up
Tmem33,1.3712597187500177,2.845894633993349e-7,5.404756447266829e-8,Up
Ankef1,1.376378911604188,2.845894633993349e-7,1.7344866146783168e-8,Up
Cxcl16,0.48568058109157525,2.866920796483089e-7,3.5508581098392725e-9,Down
Ncor1,0.9658099634977682,2.9225605839085583e-7,3.1648629988391436e-5,Down
Glud1,1.5567808386900654,3.054099213550554e-7,4.195019842382513e-8,Up
Tpi1,1.6802625012821246,3.054099213550554e-7,1.888599171487178e-9,Up
Scara5,2.230113355210928,3.0934814351008535e-7,4.175995966218104e-12,Up
Cyb5d1,1.4818320867435686,3.0934814351008535e-7,4.05389207764399e-7,Up
