target_id,ens_gene,ext_gene,external_transcript_name,fc,b,lrt_qval,wt_qval,Direction
ENSMUST00000199273.1,ENSMUSG00000050549,5730508B09Rik,5730508B09Rik-001,1.525036752343888,0.41768816481496535,0.005265955948652817,0.002398029220200253,Up
ENSMUST00000073192.13,ENSMUSG00000020311,Erlec1,Erlec1-004,1.2912715316607781,0.2621562344486588,0.005320318284533362,0.009695236316140549,Up
ENSMUST00000163333.8,ENSMUSG00000022255,Mtdh,Mtdh-005,1.6781291871491464,0.5235757045306956,0.005341235409228555,0.001736740118093025,Up
ENSMUST00000079724.8,ENSMUSG00000027944,Hax1,Hax1-001,1.350775832678755,0.3040575764739017,0.00539173188650686,0.006370607504117022,Up
ENSMUST00000161075.7,ENSMUSG00000026502,Desi2,Desi2-002,2.1250055306974116,0.9390497988985705,0.005423441245024302,0.0019146649891509256,Up
ENSMUST00000028295.8,ENSMUSG00000075467,Dnlz,Dnlz-001,1.34978461657733,0.2957965168935009,0.005444414654639271,0.004232297476894337,Up
ENSMUST00000015998.7,ENSMUSG00000015854,Cd5l,Cd5l-001,3.2442565347108188,1.196717249673526,0.005457821409614391,0.0018084635566107527,Up
ENSMUST00000020188.12,ENSMUSG00000020009,Ifngr1,Ifngr1-001,1.4729121739815507,0.40308956062452445,0.0054712158208060436,0.0018148534808909147,Up
ENSMUST00000047037.14,ENSMUSG00000037475,Thoc2,Thoc2-001,1.3971988619735773,0.36957989720844453,0.005484531029644257,0.0018222690614707832,Up
ENSMUST00000018737.12,ENSMUSG00000018593,Sparc,Sparc-001,1.9038285111535591,0.6237597182061301,0.005496288785782589,0.0018312241851768016,Up
ENSMUST00000099466.9,ENSMUSG00000025006,Sorbs1,Sorbs1-201,1.7286806131692076,0.5372215476040104,0.0055005668071853656,0.0018328375023651717,Up
ENSMUST00000194649.1,ENSMUSG00000039221,Rpl22l1,Rpl22l1-002,1.3243028711064524,0.28871196677071476,0.005504865733835865,0.0037155554680184436,Up
ENSMUST00000168864.3,ENSMUSG00000037206,Islr,Islr-202,2.432021872077763,0.8587731401406027,0.005510759712487846,0.0018402143539363732,Up
ENSMUST00000160902.7,ENSMUSG00000032115,Hyou1,Hyou1-003,2.5425409372744334,0.9541140694738414,0.005510759712487846,0.0018405605680023734,Up
ENSMUST00000099494.3,ENSMUSG00000040565,Btaf1,Btaf1-001,1.3143278963168215,0.27820445390416687,0.005522749280550762,0.004959928594635705,Up
ENSMUST00000018113.7,ENSMUSG00000017969,Ptgis,Ptgis-001,1.9984124677952055,0.6399625574009384,0.005536610250480017,0.001855505424434742,Up
ENSMUST00000125919.7,ENSMUSG00000000168,Dlat,Dlat-004,1.913976243553225,0.6692111583942804,0.005538245016768788,0.0018572302912921801,Up
ENSMUST00000032992.6,ENSMUSG00000030738,Eif3c,Eif3c-001,1.3135609030727478,0.278602403706558,0.005560483325792015,0.010174150044076373,Up
ENSMUST00000004622.6,ENSMUSG00000004508,Gab2,Gab2-001,1.3119634506118973,0.2817176951302565,0.005560483325792015,0.004090220106594092,Up
ENSMUST00000102482.4,ENSMUSG00000043770,Gm12481,Gm12481-001,1.3512627201573209,0.28446548448780445,0.005563665534635798,0.0065704058341887785,Up
ENSMUST00000080065.2,ENSMUSG00000059316,Slc27a4,Slc27a4-001,1.319965604982835,0.2852737776577464,0.005570459283126658,0.0035878610557178656,Up
ENSMUST00000036187.8,ENSMUSG00000036327,Qsox2,Qsox2-001,1.6142251508981884,0.49150532727340207,0.005585695459590531,0.002152345291145711,Up
ENSMUST00000020756.8,ENSMUSG00000020464,Pnpt1,Pnpt1-001,1.3444447558779389,0.29833667882968246,0.0056011260232786235,0.005126858244607959,Up
ENSMUST00000169503.3,ENSMUSG00000020954,Strn3,Strn3-202,1.2928415533841942,0.26088863479222785,0.005605124398727949,0.010681105027554462,Up
ENSMUST00000004684.12,ENSMUSG00000004568,Arhgef18,Arhgef18-001,1.3183985526619137,0.269792292259473,0.005627042321509706,0.007763122648555331,Up
ENSMUST00000022867.4,ENSMUSG00000022257,Laptm4b,Laptm4b-201,1.4408600636754552,0.3551374004847209,0.005627042321509706,0.0019153404269767397,Up
ENSMUST00000005749.5,ENSMUSG00000005609,Ctr9,Ctr9-001,1.2870066259197102,0.2593851118417698,0.005659177279058365,0.010409592411473542,Up
ENSMUST00000021443.6,ENSMUSG00000021048,Mthfd1,Mthfd1-201,1.6438739733187056,0.5172071407519809,0.00566281575273772,0.0019407780133939671,Up
ENSMUST00000039551.8,ENSMUSG00000038628,Polr3k,Polr3k-001,1.3185089492060438,0.2790983428519081,0.00567694490334521,0.006333255064702135,Up
ENSMUST00000025581.6,ENSMUSG00000024678,Ms4a4d,Ms4a4d-001,1.4191620800172022,0.34094928003445496,0.00567694490334521,0.002163525945659892,Up
ENSMUST00000035597.9,ENSMUSG00000035206,Sppl2b,Sppl2b-201,1.4314233704319546,0.3522911454936224,0.005685660682367041,0.00558216075641649,Up
ENSMUST00000118788.7,ENSMUSG00000024158,Hagh,Hagh-001,1.4370356490152612,0.36975753327410305,0.005704416676799144,0.0019690025946284113,Up
ENSMUST00000026190.13,ENSMUSG00000025185,Loxl4,Loxl4-001,2.441981609280197,0.7857262621614821,0.005704416676799144,0.0019690025946284113,Up
ENSMUST00000006424.7,ENSMUSG00000006262,Mob1b,Mob1b-002,4.225802336088261,3.2153108949391553,0.005704416676799144,0.001968595327785864,Up
