target_id,ens_gene,ext_gene,external_transcript_name,fc,lrt_qval,Direction
ENSMUST00000111216.7,ENSMUSG00000040532,Abhd11,Abhd11-006,0.8147987774474867,0.016728438517760916,Down
ENSMUST00000066489.12,ENSMUSG00000006931,P3h4,P3h4-001,0.7642074869644185,0.01681121579013329,Down
ENSMUST00000173711.1,ENSMUSG00000068921,Dap3,Dap3-012,0.5260940877961795,0.01681180324460336,Down
ENSMUST00000056355.8,ENSMUSG00000048142,Nat8l,Nat8l-001,0.8283313409814737,0.01688353794744254,Down
ENSMUST00000136628.1,ENSMUSG00000074754,Gm561,Gm561-001,0.8331395317612384,0.016893805889323245,Down
ENSMUST00000077338.11,ENSMUSG00000057229,Atp5sl,Atp5sl-001,0.7965295194293144,0.016908525912552094,Down
ENSMUST00000021527.14,ENSMUSG00000021108,Prkch,Prkch-001,0.7315181918154436,0.016908525912552094,Down
ENSMUST00000070756.11,ENSMUSG00000029778,Adcyap1r1,Adcyap1r1-002,0.6431110914168315,0.016908525912552094,Down
ENSMUST00000107364.7,ENSMUSG00000019173,Rab5c,Rab5c-001,0.9004729213597759,0.016908525912552094,Down
ENSMUST00000103147.4,ENSMUSG00000069744,Psmb3,Psmb3-001,0.8121571663585332,0.01692942069963331,Down
ENSMUST00000076605.7,ENSMUSG00000024524,Gnal,Gnal-202,0.7810171114862492,0.01693024002654947,Down
ENSMUST00000019684.11,ENSMUSG00000002504,Slc9a3r2,Slc9a3r2-202,0.7209528947737923,0.016937959594791264,Down
ENSMUST00000109057.7,ENSMUSG00000036275,9530068E07Rik,9530068E07Rik-001,0.3221658570136309,0.016966924721997765,Down
ENSMUST00000053087.3,ENSMUSG00000042155,Klhl23,Klhl23-001,0.5103595020184619,0.01699570316996334,Down
ENSMUST00000149322.7,ENSMUSG00000032527,Pccb,Pccb-002,0.38566085576720915,0.01699570316996334,Down
ENSMUST00000080813.4,ENSMUSG00000061787,Rps17,Rps17-001,0.752754685107599,0.017063455841076363,Down
ENSMUST00000192047.5,ENSMUSG00000026581,Sell,Sell-001,0.40102769089624285,0.017068785792100825,Down
ENSMUST00000076095.13,ENSMUSG00000025856,Pdgfa,Pdgfa-001,0.5359426677673307,0.017113311316412666,Down
ENSMUST00000028347.12,ENSMUSG00000026970,Rbms1,Rbms1-001,0.8829826274421883,0.0171142445421615,Down
ENSMUST00000026985.8,ENSMUSG00000025867,Cplx2,Cplx2-001,0.6375573793746109,0.017157746458492974,Down
ENSMUST00000054002.3,ENSMUSG00000053113,Socs3,Socs3-001,0.6078347075532361,0.01716812651305312,Down
ENSMUST00000058906.6,ENSMUSG00000049422,Chchd10,Chchd10-201,0.766119865972275,0.01718482835858147,Down
ENSMUST00000079496.8,ENSMUSG00000060860,Ube2s,Ube2s-001,0.823742602671037,0.01722890305027064,Down
ENSMUST00000145342.7,ENSMUSG00000025268,Maged2,Maged2-004,0.4016039847585298,0.01723090839749153,Down
ENSMUST00000167085.7,ENSMUSG00000038305,Spats2l,Spats2l-001,0.3939577331526422,0.017235087741811966,Down
ENSMUST00000046110.15,ENSMUSG00000026587,Astn1,Astn1-001,0.3404044400244908,0.017235087741811966,Down
ENSMUST00000026760.2,ENSMUSG00000025666,Tmem47,Tmem47-001,0.7490850915886388,0.017364257382112558,Down
ENSMUST00000028241.6,ENSMUSG00000026880,Stom,Stom-001,0.8416848855126682,0.01738429061327454,Down
ENSMUST00000104998.4,ENSMUSG00000078201,Tmem203,Tmem203-001,0.7627977689471105,0.017398504012977135,Down
ENSMUST00000153230.7,ENSMUSG00000021493,Pdlim7,Pdlim7-006,0.6500641440700451,0.017409164945227398,Down
