target_id,ens_gene,ext_gene,external_transcript_name,fc,b,lrt_qval,wt_qval,Direction
ENSMUST00000110542.7,ENSMUSG00000089678,Agxt2,Agxt2-001,0.27063725988430637,-2.0535190355165285,0.01741989763888837,0.012895338067102812,Down
ENSMUST00000150092.1,ENSMUSG00000059142,Zfp945,Zfp945-002,0.7313168567449851,-0.30733407367263016,0.01741989763888837,0.03937785624058716,Down
ENSMUST00000024889.13,ENSMUSG00000024083,Pja2,Pja2-202,0.1717929791630482,-2.903811221538411,0.017443794247878446,0.01293004387668448,Down
ENSMUST00000177545.1,ENSMUSG00000029720,Gm20605,Gm20605-001,0.734983716454511,-0.30018383990460307,0.01744421994818025,0.012968570977556703,Down
ENSMUST00000128042.1,ENSMUSG00000034610,Zcchc11,Zcchc11-002,0.5287459697040819,-0.6047632810385566,0.017493833784915713,0.023296047798933992,Down
ENSMUST00000007236.4,ENSMUSG00000007021,Syngr3,Syngr3-001,0.2720955720369608,-1.4127966111838015,0.017510277141688898,0.01895936199300855,Down
ENSMUST00000025075.1,ENSMUSG00000024232,Bambi,Bambi-201,0.7101310179715004,-0.3362033141697303,0.017513248417904075,0.04299299285855668,Down
ENSMUST00000100951.8,ENSMUSG00000044060,A830010M20Rik,A830010M20Rik-001,0.6692774461474136,-0.41804708051422484,0.017516579603246717,0.035750207151308444,Down
ENSMUST00000000291.8,ENSMUSG00000000282,Mnt,Mnt-001,0.8108601863647917,-0.21327203124675115,0.017526912602352975,0.06810592204802271,Down
ENSMUST00000152543.1,ENSMUSG00000037020,Wdr62,Wdr62-007,0.5753122756476957,-0.505979860117489,0.01760261938560555,0.01546446792967391,Down
ENSMUST00000114976.8,ENSMUSG00000024188,Luc7l,Luc7l-003,0.8117608651629221,-0.20481914886389016,0.017640036249511767,0.06629372823667816,Down
ENSMUST00000044278.5,ENSMUSG00000039037,St6galnac5,St6galnac5-001,0.4022663674321513,-0.8184357554736149,0.01775613699904001,0.013267430496361733,Down
ENSMUST00000043850.13,ENSMUSG00000036826,Igflr1,Igflr1-001,0.2925593886153639,-1.6761741437678477,0.01775613699904001,0.014174139190201808,Down
ENSMUST00000160425.7,ENSMUSG00000068245,Phf11d,Phf11d-003,0.5482504781218178,-0.6513322263093013,0.017767410032842327,0.023994960844349517,Down
ENSMUST00000114050.7,ENSMUSG00000079523,Tmsb10,Tmsb10-001,0.6902730250314509,-0.38912421931506913,0.0177826364446329,0.013315880998351197,Down
ENSMUST00000137563.7,ENSMUSG00000034566,Atp5h,Atp5h-005,0.6009891971754706,-0.5030719097432109,0.01778363853178865,0.02340493014240516,Down
ENSMUST00000020223.7,ENSMUSG00000020034,Tcp11l2,Tcp11l2-001,0.7996797445640774,-0.21164920326095515,0.01784044293056453,0.05601219256586906,Down
